,name,username,license,tags,freesound_id,path
0,coke machine hum.wav,cognito perceptu,http://creativecommons.org/publicdomain/zero/1.0/,"['drink', 'drone', 'hum', 'machine', 'pop', 'soda']",17011,files/bass_sounds/17011_57789-hq.ogg
1,Sewing machine sound processed,Jagadamba,https://creativecommons.org/licenses/by/4.0/,"['MACHINE', 'industrial', 'thread', 'Hum', 'sewing', 'factory', 'machine', 'machinery', 'motor', 'mechanical', 'whir']",257023,files/bass_sounds/257023_4062622-hq.ogg
2,electroHum.aiff,fer.scope,https://creativecommons.org/licenses/by-nc/4.0/,"['machine', 'hum', 'noise']",185837,files/bass_sounds/185837_967820-hq.ogg
3,machineair.wav,MetaKnight11,http://creativecommons.org/publicdomain/zero/1.0/,"['air', 'airy', 'audacity', 'hum', 'machine', 'synthetic', 'whir']",72106,files/bass_sounds/72106_448953-hq.ogg
4,Rumble_01,oceansonmars,http://creativecommons.org/publicdomain/zero/1.0/,"['Electric', 'Voice', 'Static', 'Machine', 'Radio', 'Buzz', 'Magnetic', 'Spoken', 'Hum', 'Noise', 'B-field']",717119,files/bass_sounds/717119_15225418-hq.ogg
5,2023-07-22-ableton-8-effect-robot-hum-001.wav,ilmari_freesound,http://creativecommons.org/publicdomain/zero/1.0/,"['glitch', 'sound', 'effect', 'electric', 'robot', 'machine', 'hum', 'electronic']",696732,files/bass_sounds/696732_12458758-hq.ogg
6,Impact sfx 004.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510074,files/bass_sounds/510074_8698658-hq.ogg
7,Impact sfx 003.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510075,files/bass_sounds/510075_8698658-hq.ogg
8,Impact sfx 002.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510076,files/bass_sounds/510076_8698658-hq.ogg
9,Impact sfx 008.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510078,files/bass_sounds/510078_8698658-hq.ogg
10,Impact sfx 009.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",510083,files/bass_sounds/510083_8698658-hq.ogg
11,clippers_on.wav,StarTowerStudio,http://creativecommons.org/publicdomain/zero/1.0/,"['clipper', 'trimmer', 'hum', 'clippers', 'machine', 'appliances', 'buzz', 'buzzing', 'click']",424986,files/bass_sounds/424986_8533382-hq.ogg
12,coffee maker noise,ChrisReierson,https://creativecommons.org/licenses/by/4.0/,"['coffee', 'noise', 'humming', 'hum', 'koffee', 'buzz', 'espresso', 'machine', 'mechanical', 'buzzing', 'maker']",383437,files/bass_sounds/383437_7137750-hq.ogg
13,Impact sfx 016.wav,AudioPapkin,https://creativecommons.org/licenses/by-nc/4.0/,"['industrial', 'mill', 'motor', 'run', 'operation', 'saw', 'sounds', 'impact', 'sfx', 'generator', 'factory', 'machine', 'engine', 'hit', 'power', 'hum', 'mechanical', 'running', 'buzzing', 'metal', 'machinery', 'drill', 'buzz', 'stinger']",511884,files/bass_sounds/511884_8698658-hq.ogg
